observation_id,observed_spacing_m,site_id,representative_u10_mps,Linst_raw_m,Lsel_premerge_m,Lmech_raw_m,Lmech_capped_m,Lvis_bound_m,Lvis_proxy_m,n_mergers,n_visible_mergers,cap_binding,visible_cap_binding,has_raw_instability
obs_055,43.77557268,neagh,5.635,128.49086278584036,16.175117583674115,64.70047033469646,64.70047033469646,64.70047033469646,64.70047033469646,2,2,False,False,True
obs_056,48.91934722,neagh,1.905,141.19917354482223,17.64989669310278,17.64989669310278,17.64989669310278,17.64989669310278,17.64989669310278,0,0,False,False,True
obs_057,47.62729888,neagh,4.535,131.1119471245636,16.38899339057045,65.5559735622818,65.5559735622818,65.5559735622818,65.5559735622818,2,2,False,False,True
obs_058,145.2011897,neagh,2.855,136.48733473285955,17.060916841607444,68.24366736642978,68.24366736642978,68.24366736642978,68.24366736642978,2,2,False,False,True
obs_059,41.35939644,neagh,2.97,136.0315588585001,17.00394485731251,17.00394485731251,17.00394485731251,17.00394485731251,17.00394485731251,0,0,False,False,True
obs_060,37.8473114,neagh,6.19,127.31690006413588,16.478631690988752,65.91452676395501,65.91452676395501,65.91452676395501,65.91452676395501,2,2,False,False,True
obs_061,67.69346434,neagh,4.025,132.51343767135364,16.564179708919205,66.25671883567682,66.25671883567682,66.25671883567682,66.25671883567682,2,2,False,False,True
obs_062,40.72962664,neagh,7.765000000000001,124.34603584925536,17.312854166185236,69.25141666474094,69.25141666474094,69.25141666474094,69.25141666474094,2,2,False,False,True
obs_063,78.44640948,neagh,3.665,133.6028215306535,16.700352691331688,66.80141076532675,66.80141076532675,66.80141076532675,66.80141076532675,2,2,False,False,True
obs_064,43.24604302,prairie,2.965,51.52744763291622,6.440930954114528,25.76372381645811,25.76372381645811,25.76372381645811,25.76372381645811,2,2,False,False,True
obs_065,334.7000556,prairie,3.2,51.04146040634614,6.380182550793268,25.52073020317307,25.52073020317307,25.52073020317307,25.52073020317307,2,2,False,False,True
obs_066,106.3726971,prairie,2.755,51.98309385242269,6.497886731552836,6.4978867315528355,6.4978867315528355,6.4978867315528355,6.4978867315528355,0,0,False,False,True
obs_067,207.3406028,neagh,3.91,132.8513027117546,16.606412838969327,16.606412838969327,16.606412838969327,16.606412838969327,16.606412838969327,0,0,False,False,True
